species_slug,585215,585220,580220,580215,625165,625170,550185,575210,600200,575245,545180,575215,151,252,300,301,154,572,573,226,251,145,maps
agrimonia-procera,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,['580215' '600200' '151' '252' '573' '251']
agropyron-cristatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['154']
agrostemma-githago,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,"['585215' '580215' '625170' '600200' '545180' '151' '252' '300' '301'
 '154' '572' '573' '226' '251']"
agrostis-alpina,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['625165' '625170' '573']
agrostis-canina,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,['580220' '625165' '550185' '575210' '151' '252' '301' '573' '251']
agrostis-capillaris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['585215' '585220' '580220' '580215' '625165' '625170' '550185' '575210'
 '600200' '575245' '545180' '575215' '151' '252' '300' '301' '154' '572'
 '573' '226' '251' '145']"
agrostis-gigantea,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"['585215' '580220' '625165' '625170' '550185' '575210' '600200' '575245'
 '545180' '151' '252' '300' '301' '154' '572' '573' '226' '251' '145']"
agrostis-rupestris,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['625170' '572']
agrostis-schleicheri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,['625170' '572' '573']
agrostis-schraderiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['573']
agrostis-stolonifera,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['585215' '585220' '580220' '625165' '625170' '550185' '575210' '600200'
 '575245' '545180' '575215' '151' '252' '300' '301' '154' '572' '573'
 '226' '251' '145']"
ailanthus-altissima,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,"['585215' '585220' '580220' '600200' '575215' '151' '252' '300' '154'
 '573' '226' '251']"
aira-caryophyllea,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,['550185' '545180' '252' '226']
ajuga-chamaepitys,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,['585215' '550185' '600200' '151' '252' '300' '154' '226' '251']
ajuga-genevensis,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,"['585220' '580220' '580215' '600200' '575245' '545180' '575215' '151'
 '252' '300' '301' '154' '226' '251' '145']"
ajuga-pyramidalis,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,['625165' '625170' '572' '573']
