species_slug,BL,WL,under_sampled,red_list,cert_list,lists
orobanche-laserpitii-sileris,0,0,0,1,0,['red_list']
orobanche-lucorum,0,0,1,1,0,['under_sampled' 'red_list']
orobanche-lutea,0,0,0,1,0,['red_list']
orobanche-lycoctoni,0,0,0,1,0,['red_list']
orobanche-minor,0,0,0,1,0,['red_list']
orobanche-picridis,0,0,1,1,0,['under_sampled' 'red_list']
orobanche-purpurea,0,0,0,1,0,['red_list']
orobanche-ramosa,0,0,0,1,0,['red_list']
orobanche-rapum-genistae,0,0,0,1,0,['red_list']
orobanche-reticulata,0,0,0,1,0,['red_list']
orobanche-salviae,0,0,1,1,0,['under_sampled' 'red_list']
orobanche-teucrii,0,0,0,1,0,['red_list']
orthilia-secunda,0,0,0,1,0,['red_list']
osmunda-regalis,0,0,0,1,0,['red_list']
ostrya-carpinifolia,0,0,0,1,1,['red_list' 'cert_list']
oxalis-acetosella,0,0,0,1,1,['red_list' 'cert_list']
oxalis-corniculata,0,0,0,1,0,['red_list']
oxyria-digyna,0,0,0,1,1,['red_list' 'cert_list']
oxytropis-campestris,0,0,0,1,1,['red_list' 'cert_list']
oxytropis-fetida,0,0,0,1,0,['red_list']
oxytropis-halleri,0,0,0,3,0,['red_list']
oxytropis-helvetica,0,0,0,1,0,['red_list']
oxytropis-jacquinii,0,0,0,1,1,['red_list' 'cert_list']
oxytropis-lapponica,0,0,0,1,0,['red_list']
oxytropis-neglecta,0,0,0,1,0,['red_list']
oxytropis-pilosa,0,0,0,1,0,['red_list']
paeonia-officinalis,0,0,0,1,0,['red_list']
papaver-alpinum,0,0,0,1,0,['red_list']
papaver-apulum,0,0,0,1,0,['red_list']
papaver-argemone,0,0,0,1,0,['red_list']
papaver-aurantiacum,0,0,0,1,0,['red_list']
papaver-dubium,0,0,0,3,0,['red_list']
papaver-hybridum,0,0,0,1,0,['red_list']
papaver-occidentale,0,0,0,1,0,['red_list']
papaver-rhoeas,0,0,0,1,1,['red_list' 'cert_list']
papaver-sendtneri,0,0,0,1,0,['red_list']
paradisea-liliastrum,0,0,0,1,0,['red_list']
parietaria-judaica,0,0,0,1,0,['red_list']
parietaria-officinalis,0,0,0,1,0,['red_list']
paris-quadrifolia,0,0,0,1,1,['red_list' 'cert_list']
parnassia-palustris,0,0,0,1,1,['red_list' 'cert_list']
parthenocissus-inserta,0,1,0,0,0,['WL']
pastinaca-sativa,0,0,0,4,0,['red_list']
