date,place,feature,number,casual,transect,species,quantity,confidence,no_flowers,notes
04-04-2021,Alfred-aebi-strasse,box,4,,,Veronica hederifolia,scattered,1,,
05-04-2021,Portplatz,area,1,,,Glechoma hederacea,Signficiant % of cover,2,,
05-04-2021,Portplatz,area,1,,,taraxacum,Signficiant % of cover,1,,
05-04-2021,Portplatz,area,1,,,Bellis perennis,Signficiant % of cover,2,,
05-04-2021,Portplatz,area,1,,,Stellaria media,scattered,1,,
05-04-2021,Portplatz,area,1,,,erophila verna,scattered,1,,
05-04-2021,Portplatz,area,1,,,Veronica filliformis,scattered,1,,
05-04-2021,Portplatz,area,1,,,Hyacinthus orientalis,2 patches,2,,
05-04-2021,Portplatz,area,1,,,Narcissus poeticus,several patches,1,,
05-04-2021,Portplatz,area,1,,,Narcissus pseuonarcissus,several patches,2,,
05-04-2021,Portplatz,area,2,,,Narcissus tazetta,1  patch,1,,
05-04-2021,Portplatz,area,2,,,Narcissus pseuonarcissus,1 patch,2,,
05-04-2021,Portplatz,area,2,,,Cardamine hirsuta,scattered,1,,
05-04-2021,Portplatz,area,2,,,Bellis perennis,Signficiant % of cover,2,,
05-04-2021,Portplatz,area,2,,,Capsella bursa-pastoris,scattered,1,,
05-04-2021,Portplatz,area,2,,,Ranunculus ficaria,Signficiant % of cover,2,,
05-04-2021,Portplatz,area,2,,,viola odorata,scattered,2,,
05-04-2021,Portplatz,area,2,,,Scilla bifolia,scattered,1,,Old flowers no longer food sources
05-04-2021,Portplatz,area,2,,,lamium purpureum,scattered,2,,
05-04-2021,Portplatz,area,2,,,Muscari neglectum,scattered,1,,
05-04-2021,Portplatz,area,2,,,fritillaria imperialis,1  patch,2,,
05-04-2021,Portplatz,area,2,,,taraxacum,scattered,1,,
05-04-2021,Portplatz,area,2,,,erophila verna,scattered,1,,
05-04-2021,Portplatz,area,3,,,Forsythia x intermedia,several,1,,
05-04-2021,Portplatz,area,3,,,viola odorata,several,1,,
05-04-2021,Portplatz,area,3,,,Muscari neglectum,scattered,1,,
