"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Fungi","Ascomycota","Mycosphaerella pini (Dothistroma blight)","Present, Few occurrences","","","CABI and EPPO (2010); Queloz et al. (2014); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Ophiostoma novo-ulmi (Dutch elm disease)","Present, Widespread","Introduced","Invasive","Gibbs (1978)","Full",
"Eukaryota","Fungi","Ascomycota","Ophiostoma ulmi (Dutch elm disease)","Present, Widespread","Introduced","Invasive","CABI (Undated); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Phyllactinia guttata (powdery mildew of hardwood trees)","Present","","","CABI Data Mining (undated)","Full",
"Eukaryota","Fungi","Ascomycota","Podosphaera spiraeae (Japanese spiraea powdery mildew)","Present","Introduced","Invasive","Farr and Rossman (2019)","Full",
"Eukaryota","Fungi","Ascomycota","Pseudogymnoascus destructans (white-nose syndrome fungus)","Present","","","Wibbelt et al. (2010)","Full",
"Eukaryota","Fungi","Ascomycota","Sphaeropsis sapinea (Sphaeropsis blight)","Present","","","Engesser (2002)","Full",
"Eukaryota","Fungi","Basidiomycota","Amylostereum areolatum","Present, Widespread","Native","","Breitenbach and Kranzlin (1988)","Full",
"Eukaryota","Fungi","Basidiomycota","Chrysomyxa rhododendri (European Rhododendron rust)","Present","Native","","Körnicke (1877); Jaap (1908); Oechslin (1927); CABI/EPPO (2012)","Full",
"Eukaryota","Fungi","Basidiomycota","Cronartium ribicola (white pine blister rust)","Present, Widespread","","","Darbellay (1939); UK, CAB International (1983); EPPO (2020); Herb IMI (undated)","Full",
"Eukaryota","Fungi","Basidiomycota","Heterobasidion annosum","Present, Localized","Native","","Holdenrieder et al. (1998)","Full",
"Eukaryota","Fungi","Basidiomycota","Heterobasidion annosum sensu lato (Heterobasidion root rot)","Present, Widespread","Native","","UK, CAB International (1980); EPPO (2020)","Full",
"Eukaryota","Fungi","Basidiomycota","Heterobasidion parviporum","Present, Widespread","Native","","Holdenrieder et al. (1998)","Full",
"Eukaryota","Fungi","Basidiomycota","Melampsoridium hiratsukanum (alder rust)","Present","","","EPPO (2020); Hantula et al. (2009)","Basic",
"Eukaryota","Fungi","Basidiomycota","Puccinia buxi","Present","","","BPI (US National Fungus Collections) (2009); Baur et al. (2019)","Full",
"Eukaryota","Fungi","Basidiomycota","Puccinia graminis (stem rust of cereals)","Present","","","Fried (1983)","Full",
"Eukaryota","Fungi","Basidiomycota","Puccinia horiana (white rust of chrysanthemum)","Present, Localized","","","CABI and EPPO (2008); EPPO (2020)","Full",
"Eukaryota","Fungi","Basidiomycota","Tilletia controversa (dwarf bunt of wheat)","Present, Widespread","","","EPPO (2020); CABI/EPPO (2012)","Full",
"Eukaryota","Fungi","Basidiomycota","Urocystis agropyri (flag smut of wheat)","Present","","","UK, CAB International (1991); EPPO (2020)","Full",
"Eukaryota","Fungi","Chytridiomycota","Batrachochytrium dendrobatidis (Bd)","Present, Widespread","","","Garner et al. (2005)","Full",
"Eukaryota","Fungi","Chytridiomycota","Synchytrium endobioticum (wart disease of potato)","Present, Few occurrences","","","CABI and EPPO (2015); EPPO (2020)","Full",
