"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Metazoa","Chordata","Procyon lotor (raccoon)","Present, Localized","Introduced","Invasive","Winter (2006)","Full",
"Eukaryota","Metazoa","Chordata","Pseudorasbora parva (topmouth gudgeon)","Present","Introduced","Invasive","FAO (1997); Wittenberg (2005)","Full",
"Eukaryota","Metazoa","Chordata","Psittacula krameri (rose-ringed parakeet)","Absent, Formerly present","","","Strubbe and Matthysen (2009)","Full",
"Eukaryota","Metazoa","Chordata","Rattus norvegicus (brown rat)","Present","Introduced","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Chordata","Rutilus rutilus (roach)","Present","Native","","Kottelat and Freyhof (2007); Hartmann (1827); Blanc et al. (1971); Froese and Pauly (2004)","Full",
"Eukaryota","Metazoa","Chordata","Salmo salar (Atlantic salmon)","Present, Few occurrences","Native","","Hartmann (1827); Leybold-Johnson (2008); Froese and Pauly (2010); Moore (2018)","Full",
"Eukaryota","Metazoa","Chordata","Salmo trutta (sea trout)","Present","Native","","Vilcinskas (1993)","Full",
"Eukaryota","Metazoa","Chordata","Salvelinus fontinalis (brook trout)","Present","Introduced","","Froese and Pauly (2004); Elvira (2001)","Full",
"Eukaryota","Metazoa","Chordata","Salvelinus namaycush (lake trout)","Present","Introduced","","CABI (Undated)","Full",
"Eukaryota","Metazoa","Chordata","Sander lucioperca (pike-perch)","Present","Introduced","","Blanc et al. (1971); Froese and Pauly (2004)","Full",
"Eukaryota","Metazoa","Chordata","Scardinius erythrophthalmus (rudd)","Present","Native","","Froese and Pauly (2004); Muus and Dahlström (1968)","Full",
"Eukaryota","Metazoa","Chordata","Silurus glanis (wels catfish)","Present","Native","","Froese R and Pauly D (2012)","Full",
"Eukaryota","Metazoa","Chordata","Squalius cephalus (European chub)","Present","Native","","Muus and Dahlström (1968)","Full",
"Eukaryota","Metazoa","Chordata","Streptopelia decaocto (Eurasian collared-dove)","Present","Introduced","","Schifferli et al. (1980)","Full",
"Eukaryota","Metazoa","Chordata","Sus scrofa [ISC] (feral pig)","Present","Native","","IUCN (2012)","Full",
"Eukaryota","Metazoa","Chordata","Tamias sibiricus (Siberian chipmunk)","Present, Localized","Introduced","","Fernandez (1995)","Full",
"Eukaryota","Metazoa","Chordata","Tinca tinca (tench)","Present","Native","","FishBase (2004)","Full",
"Eukaryota","Metazoa","Chordata","Trachemys scripta elegans (red-eared slider)","Present","Introduced","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Chordata","Triturus carnifex","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Chordata","Tyto alba (Barn owl)","Present","Native","","Bruce (1999)","Full",
"Eukaryota","Metazoa","Chordata","Vulpes vulpes (red fox)","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Metazoa","Mollusca","Arion vulgaris (Spanish slug)","Present, Widespread","Introduced","Invasive","Turner et al. (1998); Friedli and Frank (1998); Speiser et al. (2001); Speiser and Kistler (2002); Hönemann and Nentwig (2010)","Full",
"Eukaryota","Metazoa","Mollusca","Corbicula fluminalis","Absent, Unconfirmed presence record(s)","","","Wittenberg (2006)","Full",
"Eukaryota","Metazoa","Mollusca","Corbicula fluminea (Asian clam)","Present, Localized","Introduced","Invasive","Schmidlin and Baur (2007); Schmidlin et al. (2012)","Full",
"Eukaryota","Metazoa","Mollusca","Cornu aspersum (common garden snail)","Present, Localized","Introduced","","Reichling (1950); Taylor (1914)","Full",
"Eukaryota","Metazoa","Mollusca","Deroceras invadens (tramp slug)","Present","Introduced","Invasive","Fauna Europea (2015)","Full",
"Eukaryota","Metazoa","Mollusca","Deroceras laeve (meadow slug)","Present","Native","","Fauna Europea (2015)","Full",
"Eukaryota","Metazoa","Mollusca","Deroceras reticulatum (grey field slug)","Present, Widespread","","","Kerney et al. (1979)","Full",
"Eukaryota","Metazoa","Mollusca","Dreissena polymorpha (zebra mussel)","Present, Widespread","Introduced","Invasive","Binder (1965)","Full",
"Eukaryota","Metazoa","Mollusca","Hygromia cinctella","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Mollusca","Limacus flavus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Mollusca","Limax maximus (leopard slug)","Present","Introduced","","CABI (Undated)","Full",
"Eukaryota","Metazoa","Mollusca","Milax gagates","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Mollusca","Oxychilus alliarius (garlic snail)","Present","Native","","Turner et al. (1998); GBIF (2016)","Full",
"Eukaryota","Metazoa","Mollusca","Potamopyrgus antipodarum (New Zealand mudsnail)","Present, Widespread","Introduced","","CABI (Undated); Walter (1980)","Full",
"Eukaryota","Metazoa","Mollusca","Solatopupa similis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Mollusca","Theba pisana (white garden snail)","Present","","","EPPO (2020); Baker (1986); CABI (Undated)","Full",
"Eukaryota","Metazoa","Nematoda","Anguina tritici (wheat seed gall nematode)","Present","","","CHRISTIE and PERRY (1959); CABI and EPPO (2002); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Aphelenchoides fragariae (strawberry crimp nematode)","Present, Widespread","","","CABI and EPPO (2002); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Aphelenchoides ritzemabosi (Chrysanthemum foliar eelworm)","Present","","","Stäubli et al. (1989); CABI and EPPO (2000); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Bursaphelenchus xylophilus (pine wilt nematode)","Absent, Confirmed absent by survey","","","EPPO (2020); Prospero et al. (2013)","Full",
"Eukaryota","Metazoa","Nematoda","Ditylenchus destructor (potato tuber nematode)","Present, Few occurrences","","","CABI/EPPO (2013); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Ditylenchus dipsaci (stem and bulb nematode)","Present, Widespread","","","Nuesch (1971); Graf and Meyer (1973); Vallotton (1976); Whitehead et al. (1987); CABI and EPPO (2009); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Globodera pallida (white potato cyst nematode)","Present, Localized","Introduced","","CABI/EPPO (2011); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Globodera rostochiensis (yellow potato cyst nematode)","Present, Localized","Introduced","Invasive","Riel and Mulder (1998); CABI/EPPO (2011); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Meloidogyne arenaria (peanut root-knot nematode)","Present","","","Vallotton (1981); CABI and EPPO (2003)","Full",
"Eukaryota","Metazoa","Nematoda","Meloidogyne chitwoodi (columbia root-knot nematode)","Absent, Eradicated","","","EPPO (2020); CABI/EPPO (2012)","Full",
"Eukaryota","Metazoa","Nematoda","Meloidogyne enterolobii (Pacara earpod tree root-knot nematode)","Present, Few occurrences","","","Kiewnick et al. (2008); Kiewnick et al. (2008); Kiewnick et al. (2008); Kiewnick et al. (2009); CABI and EPPO (2014); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Meloidogyne fallax (false Columbia root-knot nematode)","Present, Localized","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Meloidogyne hapla (root knot nematode)","Present","","","Vallotton (1981); CABI and EPPO (2002)","Full",
"Eukaryota","Metazoa","Nematoda","Meloidogyne incognita (root-knot nematode)","Present","","","CABI and EPPO (2002)","Full",
"Eukaryota","Metazoa","Nematoda","Meloidogyne mayaguensis","Present, Few occurrences","","","EPPO (2014)","Full",
"Eukaryota","Metazoa","Nematoda","Radopholus similis (burrowing nematode)","Absent, Intercepted only","","","CABI and EPPO (1999); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Trichinella","Present","","","OIE Handistatus (2005)","Full",
"Eukaryota","Metazoa","Nematoda","Xiphinema diversicaudatum (dagger nematode)","Present","","","Brown and Taylor (1987); Brown et al. (1990); CABI and EPPO (2001); EPPO (2020)","Full",
"Eukaryota","Metazoa","Nematoda","Xiphinema index (fan-leaf virus nematode)","Present","","","Vallotton and Perrier (1990); CABI and EPPO (2000); EPPO (2020); CABI (Undated)","Full",
"Eukaryota","Metazoa","Platyhelminthes","Echinococcus","Present","","","OIE (2009)","Full",
"Eukaryota","Metazoa","Platyhelminthes","Echinococcus granulosus","Present","","","CABI Data Mining (2001)","Basic",
"Eukaryota","Metazoa","Platyhelminthes","Echinococcus multilocularis","Present","","","CABI Data Mining (2001)","Basic",
"Eukaryota","Metazoa","Platyhelminthes","Taenia solium","Absent, No presence record(s)","","","OIE (2009)","Basic",
"Eukaryota","Planctomycetes [kingdom]","","Chlamydophila abortus","Present","","","OIE Handistatus (2005)","Full",
"Eukaryota","Planctomycetes [kingdom]","","Chlamydophila psittaci","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Plantae","Pteridophyta","Cyrtomium falcatum (Japanese holly fern)","Present","Introduced","","Schoenenberger et al. (2014)","Full",
"Eukaryota","Plantae","Pteridophyta","Equisetum arvense (field horsetail)","Present","","","Bohren (2009)","Full",
"Eukaryota","Plantae","Pteridophyta","Pteridium aquilinum (bracken)","Present, Widespread","Native","","Tutin and et al. (1964)","Full",
"Eukaryota","Plantae","Pteridophyta","Pteris vittata (Chinese ladder brake fern)","Present","Introduced","","Euro+Med (2019)","Full",
"Eukaryota","Plantae","Spermatophyta","Abutilon theophrasti (velvet leaf)","Present","Introduced","Invasive","Gut and Weber (1999); USDA-ARS (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Acalypha virginica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Acer negundo (box elder)","Present, Planted","Introduced","","Tutin (1968)","Full",
"Eukaryota","Plantae","Spermatophyta","Acer platanoides (Norway maple)","Present","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Acer pseudoplatanus (sycamore)","Present","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Acer rufinerve (grey snake-bark maple)","Present, Only in captivity/cultivation","Introduced","","BGCI (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Achillea millefolium (yarrow)","Present","Native","","Missouri Botanical Garden (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Achillea ptarmica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Achillea setacea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Aconitum variegatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Aegilops cylindrica","Present, Localized","Introduced","","Slageren (1994)","Full",
"Eukaryota","Plantae","Spermatophyta","Agave americana (century plant)","Present","Introduced","Naturalized","DAISIE (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Agrostis avenacea (Pacific bent grass)","Present, Localized","Introduced","","Euro+Med (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Agrostis capillaris (common bent)","Present","Native","","Tutin (1980)","Full",
"Eukaryota","Plantae","Spermatophyta","Ailanthus altissima (tree-of-heaven)","Present","","","EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Aira caryophyllea (silver hairgrass)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Ajuga chamaepitys","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ajuga reptans (carpet bugle)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Akebia quinata (five-leaf akebia)","Present","","","EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Alchemilla conjuncta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Alchemilla xanthochlora","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Aldrovanda vesiculosa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Alliaria petiolata (garlic mustard)","Present","Native","","Royal Botanic Garden Edinburgh (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Allium oleraceum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Allium ursinum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Alnus glutinosa (European alder)","Present, Planted","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Alopecurus myosuroides (black-grass)","Present","Native","","Flora Europaea (2008); Ammon and Krebs (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Alopecurus pratensis (meadow foxtail)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Alopecurus rendlei","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Alyssum alyssoides","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Alyssum montanum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Amaranthus blitum (livid amaranth)","Present","","","Aellen and  Akeroyd (1993); CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Amaranthus deflexus (Perennial Pigweed)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Amaranthus hybridus (smooth pigweed)","Present","","","Aellen and  Akeroyd (1993)","Full",
"Eukaryota","Plantae","Spermatophyta","Amaranthus retroflexus (redroot pigweed)","Present","","","Maigre (1991)","Full",
"Eukaryota","Plantae","Spermatophyta","Amaranthus tuberculatus (rough-fruited water-hemp)","Present, Transient under eradication","","","EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Ambrosia artemisiifolia (common ragweed)","Present","Introduced","","Bohren (2009); Euro+Med (2016); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Ambrosia trifida (giant ragweed)","Present","Introduced","","Euro+Med (2016); USDA-ARS (2016); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Amorpha fruticosa (false indigo-bush)","Present","","","EPPO (2020); Euro+Med PlantBase (2011)","Full",
"Eukaryota","Plantae","Spermatophyta","Anagallis arvensis (scarlet pimpernel)","Present","","","Beuret and Caputa (1983)","Full",
"Eukaryota","Plantae","Spermatophyta","Anemone halleri","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Anemone sylvestris","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Anethum graveolens (dill)","Present","Introduced","","Hand (2011)","Full",
"Eukaryota","Plantae","Spermatophyta","Anthemis cotula (dog fennel)","Present","Introduced","","USDA-ARS (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Anthemis tinctoria","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Anthemis triumfettii","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Anthoxanthum odoratum (sweet vernal grass)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Apera interrupta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Aquilegia atrata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Arabis collina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Arenaria serpyllifolia (thymeleaf sandwort)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Argemone mexicana (Mexican poppy)","Present","Introduced","","Mowat (1964)","Full",
"Eukaryota","Plantae","Spermatophyta","Armeria arenaria","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Arrhenatherum elatius (false oat-grass)","Present","Native","","Tutin et al. (1980)","Full",
"Eukaryota","Plantae","Spermatophyta","Artemisia biennis (biennial wormwood)","Present","Introduced","","Hegi (1929); Gut and Weber (1999); CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Artemisia verlotiorum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Arum italicum (Italian arum)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Arundo donax (giant reed)","Present","Introduced","Invasive","Wittenberg (2005)","Full",
"Eukaryota","Plantae","Spermatophyta","Asarum europaeum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Asclepias syriaca (common milkweed)","Present, Few occurrences","","","EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Asparagus densiflorus (asparagus fern)","Present","Introduced","","GBIF (2008)","Full",
"Eukaryota","Plantae","Spermatophyta","Asphodelus albus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Aster lanceolatus (Narrow-leaved michaelmas daisy)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Astragalus onobrychis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Astragalus penduliflorus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Aubrieta deltoidea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Avena fatua (wild oat)","Present","","","Holm et al. (1979)","Full",
"Eukaryota","Plantae","Spermatophyta","Baldellia ranunculoides","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ballota nigra","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Berteroa incana (hoary alyssum)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Bidens frondosa (beggarticks)","Present","Introduced","Invasive","Invasive Alien Species in Switzerland (2006); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Bidens subalternans","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Bidens tripartita","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Bothriochloa ischaemum (yellow bluestem)","Present, Widespread","Native","","Cook et al. (2005); USDA-ARS (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Brachypodium pinnatum","Present","","","Suter et al. (2007)","Basic",
"Eukaryota","Plantae","Spermatophyta","Brachypodium sylvaticum (slender false brome)","Present, Widespread","Native","","Lauber and Wagner (1996)","Full",
"Eukaryota","Plantae","Spermatophyta","Brassica juncea (mustard)","Present","Introduced","","Weber and Gut (2004); Warwick and Francis (1994)","Full",
"Eukaryota","Plantae","Spermatophyta","Brassica nigra (black mustard)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Brassica rapa (field mustard)","Present","Native and Introduced","","Euro+Med (2018); USDA-ARS (2018)","Full",
"Eukaryota","Plantae","Spermatophyta","Bromus hordeaceus (soft brome)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Bromus japonicus (Japanese brome)","Present","Native","","USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Bromus secalinus (rye brome)","Present","Introduced","","Royal Botanic Gardens Kew (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Bromus sterilis (barren brome)","Present","Native","Invasive","Sergei et al. (2002); Royal Botanic Garden Edinburgh (2004); USDA-ARS (2004)","Full",
"Eukaryota","Plantae","Spermatophyta","Bromus tectorum (downy brome)","Present","Introduced","","Tutin et al. (1980)","Full",
"Eukaryota","Plantae","Spermatophyta","Buddleja davidii (butterfly bush)","Present","","","EPPO (2020); Welten and Sutter (1982); Bohren (2009); GBIF (2009); SKEW (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Buglossoides arvensis (corn gromwell)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Bunias orientalis (Turkish warty-cabbage)","Present","Introduced","Invasive","Fitter and Peat (1994); NOBANIS (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Bupleurum longifolium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Calamintha grandiflora","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Calamintha nepeta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Calendula arvensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Calla palustris","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Camelina microcarpa (smallseed falseflax)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Camelina sativa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Campanula patula","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Campanula rapunculoides (creeping bellflower)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Campanula rapunculus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Campanula rotundifolia","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Capsella bursa-pastoris (shepherd's purse)","Present","Native","","Weiss and Stettmer (1991)","Full",
"Eukaryota","Plantae","Spermatophyta","Capsella rubella","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Capsicum annuum (bell pepper)","Present","","","FAO (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Cardamine flexuosa (wavy bittercress)","Present","Native","","USDA-ARS (2019)","Full",
"Eukaryota","Plantae","Spermatophyta","Carduus crispus (curly plumeless thistle)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Carduus nutans (nodding thistle)","Present","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Carduus pycnocephalus (Italian thistle)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Carex ovalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Carex pendula (hanging sedge)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Catapodium rigidum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Centaurea diffusa (diffuse knapweed)","Present","Introduced","Invasive","Tutin et al. (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Centaurea scabiosa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Centaurea solstitialis (yellow starthistle)","Present","Introduced","Invasive","Tutin et al. (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Centaurea stoebe subsp. micranthos (spotted knapweed)","Present","Introduced","Invasive","Ochsmann (2001)","Full",
"Eukaryota","Plantae","Spermatophyta","Cephalaria alpina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cerastium dubium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cerastium ligusticum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cerastium tomentosum (boreal chickweed)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cerinthe major","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cerinthe minor","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chaerophyllum hirsutum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chamaecytisus hirsutus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chamaecytisus purpureus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chamaesyce humifusa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chamaesyce nutans","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chamaesyce prostrata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chenopodium album (fat hen)","Present","","","Holm et al. (1991)","Full",
"Eukaryota","Plantae","Spermatophyta","Chenopodium bonus-henricus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chenopodium desiccatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chenopodium glaucum (Oak-leaved goosefoot)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chondrilla juncea (rush skeletonweed)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Chrysanthemum corymbosum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Chrysanthemum segetum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cirsium arvense (creeping thistle)","Present","Native","Invasive","Bacher et al. (1997); USDA-ARS (2004); Bohren (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Cirsium vulgare (spear thistle)","Present","Native","","USDA-ARS (2016); Holm et al. (1979); Salveter (1998)","Full",
"Eukaryota","Plantae","Spermatophyta","Clematis recta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Clematis vitalba (old man's beard)","Present","Native","","Tutin et al. (1964); Groppe (1991)","Full",
"Eukaryota","Plantae","Spermatophyta","Clinopodium vulgare","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cochlearia officinalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Conium maculatum (poison hemlock)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Consolida regalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Convolvulus arvensis (bindweed)","Present, Widespread","","","Stace (1972); Maniyar et al. (2013); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Conyza canadensis (Canadian fleabane)","Present","Introduced","Invasive","Cronquist (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Cornus sericea (redosier dogwood)","Present","Introduced","Invasive","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Coronopus squamatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cotoneaster horizontalis (wall-spray)","Present","Introduced","Invasive","Dickoré and Kasperek (2010)","Full",
"Eukaryota","Plantae","Spermatophyta","Crataegus monogyna (hawthorn)","Present, Planted","Native","","USDA-ARS (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Crepis nicaeensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Crepis pulchra","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Crepis sancta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Cruciata glabra","Present","","","CABI Data Mining (2011)","Basic",
