No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
339505,Ranunculus montanus aggr.,Ranunculus montanus aggr.,Ranunculaceae,,,*,I,x,x,x
340300,Ranunculus platanifolius L.,Ranunculus platanifolius,Ranunculaceae,,*,*,I,3,3,3
340900,Ranunculus repens L.,Ranunculus repens,Ranunculaceae,*,*,*,I,3.5,3,4
343200,Reynoutria japonica Houtt.,Reynoutria japonica,Polygonaceae,,*,*,NEO,3.5,3,4
343500,Rhamnus cathartica L.,Rhamnus cathartica,Rhamnaceae,,*,*,I,2.5,4,2
344100,Rhinanthus alectorolophus (Scop.) Pollich,Rhinanthus alectorolophus,Orobanchaceae,*,*,*,I,3,4,3
344800,Rhinanthus minor L.,Rhinanthus minor,Orobanchaceae,,*,*,I,3.5,3,2
345300,Rhododendron ferrugineum L.,Rhododendron ferrugineum,Ericaceae,*,*,*,I,3,2,2
345400,Rhododendron hirsutum L.,Rhododendron hirsutum,Ericaceae,,*,*,I,3,4,2
346500,Robinia pseudoacacia L.,Robinia pseudoacacia,Fabaceae,,*,*,NEO,2.5,3,4
347850,Rosa canina aggr.,Rosa canina aggr.,Rosaceae,,*,*,I,2.5,3,3
349500,Rosa pendulina L.,Rosa pendulina,Rosaceae,,,*,I,3.5,4,3
352200,Rubus caesius L.,Rubus caesius,Rosaceae,*,*,*,I,3.5,4,4
354400,Rubus idaeus L.,Rubus idaeus,Rosaceae,*,*,*,I,3,3,4
358900,Rumex acetosa L.,Rumex acetosa,Polygonaceae,*,*,*,I,3,3,4
359400,Rumex alpinus L.,Rumex alpinus,Polygonaceae,,,*,I,3.5,3,5
360400,Rumex obtusifolius L.,Rumex obtusifolius,Polygonaceae,*,*,*,I,3,3,5
360900,Rumex scutatus L.,Rumex scutatus,Polygonaceae,,*,*,I,2,3,2
362800,Salix alba L.,Salix alba,Salicaceae,*,*,*,I,4.5^,4,4
363100,Salix appendiculata Vill.,Salix appendiculata,Salicaceae,,,*,I,3.5,3,3
363700,Salix caprea L.,Salix caprea,Salicaceae,*,*,*,I,3,3,3
364000,Salix elaeagnos Scop.,Salix elaeagnos,Salicaceae,,*,*,I,4^,4,2
364700,Salix helvetica Vill.,Salix helvetica,Salicaceae,,,*,I,4,2,2
364800,Salix herbacea L.,Salix herbacea,Salicaceae,,,*,I,3.5,2,2
365800,Salix purpurea L.,Salix purpurea,Salicaceae,,*,*,I,3.5,4,3
366100,Salix reticulata L.,Salix reticulata,Salicaceae,,,*,I,3,5,2
366200,Salix retusa L.,Salix retusa,Salicaceae,,,*,I,3,4,2
367300,Salvia glutinosa L.,Salvia glutinosa,Lamiaceae,,*,*,I,3.5,4,4
367600,Salvia pratensis L.,Salvia pratensis,Lamiaceae,*,*,*,I,2,4,2
368300,Sambucus nigra L.,Sambucus nigra,Adoxaceae,*,*,*,I,3.5,4,4
368400,Sambucus racemosa L.,Sambucus racemosa,Adoxaceae,,*,*,I,3,2,4
368650,Sanguisorba minor Scop.,Sanguisorba minor,Rosaceae,,*,*,I,2,4,2
369100,Sanicula europaea L.,Sanicula europaea,Apiaceae,,*,*,I,3,4,3
369400,Saponaria ocymoides L.,Saponaria ocymoides,Caryophyllaceae,,*,*,I,2,4,2
369500,Saponaria officinalis L.,Saponaria officinalis,Caryophyllaceae,,*,*,I,2.5,4,4
371600,Saxifraga aizoides L.,Saxifraga aizoides,Saxifragaceae,,,*,I,4,4,2
371800,Saxifraga androsacea L.,Saxifraga androsacea,Saxifragaceae,,,*,I,3.5,4,2
372300,Saxifraga bryoides L.,Saxifraga bryoides,Saxifragaceae,,,*,I,3.5,2,1
372500,Saxifraga caesia L.,Saxifraga caesia,Saxifragaceae,,,*,I,2,5,1
374450,Saxifraga oppositifolia L.,Saxifraga oppositifolia,Saxifragaceae,,,*,I,3.5,4,2
374600,Saxifraga paniculata Mill.,Saxifraga paniculata,Saxifragaceae,,,*,I,2,4,2
375400,Saxifraga rotundifolia L.,Saxifraga rotundifolia,Saxifragaceae,,*,*,I,4,3,4
375800,Saxifraga stellaris L.,Saxifraga stellaris,Saxifragaceae,,,*,I,4,3,2
376500,Scabiosa columbaria L.,Scabiosa columbaria,Caprifoliaceae,*,*,*,I,2,4,2
379100,Schoenus nigricans L.,Schoenus nigricans,Cyperaceae,,*,*,I,4.5,5,2
379700,Scirpus sylvaticus L.,Scirpus sylvaticus,Cyperaceae,,*,*,I,4.5,3,3
