"Species","Family","Municipality","Canton","Last year","Map"
"Osmia caerulescens  (Linnaeus, 1758)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Osmia leaiana  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Osmia mustelina  Gerstäcker, 1841","Megachilinae","Biel/Bienne","BE","1927","Show (ancien)"
"Osmia niveata  (Fabricius, 1804)","Megachilinae","Biel/Bienne","BE","1888","Show (ancien)"
"Osmia rufohirta  Latreille, 1811","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Osmia spinulosa  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1885","Show (ancien)"
"Osmia xanthomelana  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1929","Show (ancien)"
"Rophites algirus  Pérez, 1895","Halictinae","Biel/Bienne","BE","1899","Show (ancien)"
"Rophites quinquespinosus  Spinola, 1808","Halictinae","Biel/Bienne","BE","1885","Show (ancien)"
"Sphecodes albilabris  (Fabricius, 1793)","Halictinae","Biel/Bienne","BE","1888","Show (ancien)"
"Sphecodes crassus  Thomson, 1870","Halictinae","Biel/Bienne","BE","1921","Show (ancien)"
"Sphecodes ephippius  (Linnaeus, 1767)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Sphecodes ferruginatus  von Hagens, 1882","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Sphecodes geoffrellus  (Kirby, 1802)","Halictinae","Biel/Bienne","BE","1889","Show (ancien)"
"Sphecodes gibbus  (Linnaeus, 1758)","Halictinae","Biel/Bienne","BE","1889","Show (ancien)"
"Sphecodes monilicornis  (Kirby, 1802)","Halictinae","Biel/Bienne","BE","1916","Show (ancien)"
"Sphecodes niger  von Hagens, 1882","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Sphecodes rufiventris  (Panzer, 1798)","Halictinae","Biel/Bienne","BE","1935","Show (ancien)"
"Sphecodes schenckii  von Hagens, 1882","Halictinae","Biel/Bienne","BE","1886","Show (ancien)"
"Stelis ornatula  (Klug, 1807)","Megachilinae","Biel/Bienne","BE","1882","Show (ancien)"
"Stelis phaeoptera  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1885","Show (ancien)"
"Stelis punctulatissima  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Trachusa byssina  (Panzer, 1798)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Xylocopa violacea  (Linnaeus, 1758)","Anthophorinae","Biel/Bienne","BE","2007","Show (ancien)"
