acceptedtaxonkey,acceptedscientificname,numberofoccurrences,kingdom,phylum,class,order,family,genus,species
6449698,ranunculus trichophyllus subsp. eradicatus (laest.) c.cook,272,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,ranunculus,ranunculus trichophyllus
5289769,scolochloa festucacea link,1682,plantae,tracheophyta,liliopsida,poales,poaceae,scolochloa,scolochloa festucacea
7301121,scabiosa columbaria subsp. columbaria,6826,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,scabiosa,scabiosa columbaria
2717641,eleocharis ovata (roth) roem. & schult.,221,plantae,tracheophyta,liliopsida,poales,cyperaceae,eleocharis,eleocharis ovata
2849252,epipogium aphyllum sw.,1127,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,epipogium,epipogium aphyllum
5568339,dysphania pumilio (r.br.) mosyakin & clemants,128,plantae,tracheophyta,magnoliopsida,caryophyllales,amaranthaceae,dysphania,dysphania pumilio
5347571,genista pilosa l.,471,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,genista,genista pilosa
5667932,pinguicula leptoceras rchb.,527,plantae,tracheophyta,magnoliopsida,lamiales,lentibulariaceae,pinguicula,pinguicula leptoceras
7290758,primula veris subsp. veris,3787,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,primula,primula veris
2797979,platanthera clavellata (michx.) luer,848,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,platanthera,platanthera clavellata
7452468,selaginella helvetica (l.) spring,657,plantae,tracheophyta,lycopodiopsida,selaginellales,selaginellaceae,selaginella,selaginella helvetica
7848152,primula latifolia lapeyr.,427,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,primula,primula latifolia
3027764,alchemilla trunciloba buser,35,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,alchemilla,alchemilla trunciloba
3085423,dianthus seguieri vill.,401,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,dianthus,dianthus seguieri
3094355,aposeris foetida less.,2452,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,aposeris,aposeris foetida
4037955,rumex nivalis hegetschw.,272,plantae,tracheophyta,magnoliopsida,caryophyllales,polygonaceae,rumex,rumex nivalis
5356412,lathyrus palustris l.,1296,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,lathyrus,lathyrus palustris
5361888,morus nigra l.,20,plantae,tracheophyta,magnoliopsida,rosales,moraceae,morus,morus nigra
5375105,arabis auriculata lam.,265,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,arabis,arabis auriculata
5376286,fourraea alpina (l.) greuter & burdet,497,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,fourraea,fourraea alpina
5421039,ludwigia grandiflora (michx.) greuter & burdet,20,plantae,tracheophyta,magnoliopsida,myrtales,onagraceae,ludwigia,ludwigia grandiflora
3931214,aconitum tauricum subsp. tauricum,7,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,aconitum,aconitum tauricum
7770420,chaenorrhinum minus subsp. minus,115,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,chaenorhinum,chaenorhinum minus
6303823,crepis praemorsa subsp. praemorsa,509,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,crepis,crepis praemorsa
8317764,festuca stenantha (hack.) k.richt.,4,plantae,tracheophyta,liliopsida,poales,poaceae,festuca,festuca stenantha
8625614,lactuca viminea j.presl & c.presl,120,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,lactuca,lactuca viminea
2889828,viscum album l.,475,plantae,tracheophyta,magnoliopsida,santalales,santalaceae,viscum,viscum album
7272117,sorbus aucuparia subsp. aucuparia,166,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,sorbus,sorbus aucuparia
8386948,cryptogramma crispa (l.) r.br. ex hook.,840,plantae,tracheophyta,polypodiopsida,polypodiales,pteridaceae,cryptogramma,cryptogramma crispa
2705484,glyceria maxima holmb.,329,plantae,tracheophyta,liliopsida,poales,poaceae,glyceria,glyceria maxima
2725766,carex alba scop.,3298,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex alba
2888310,orthilia secunda (l.) house,2478,plantae,tracheophyta,magnoliopsida,ericales,ericaceae,orthilia,orthilia secunda
3027190,spiraea ×arguta zabel,2,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,spiraea,spiraea arguta
3040251,reseda luteola l.,489,plantae,tracheophyta,magnoliopsida,brassicales,resedaceae,reseda,reseda luteola
3054368,juglans regia l.,6510,plantae,tracheophyta,magnoliopsida,fagales,juglandaceae,juglans,juglans regia
